E(Gpa),v,Cond(W/m-K),CTE(µm/m-°C),Temp(°C),ETemp(GPa)
105.0,0.346,115.0,2.03,-33.0,107.29286
105.0,0.346,115.0,2.03,2.0,104.9082
105.0,0.346,115.0,2.03,34.0,102.81830000000001
105.0,0.346,115.0,2.03,84.0,99.71481
105.0,0.346,115.0,2.03,137.0,96.62272
105.0,0.346,115.0,2.03,217.0,92.30153
105.0,0.346,115.0,2.03,235.0,91.38208
105.0,0.346,115.0,2.03,299.0,88.25546
105.0,0.346,115.0,2.03,415.0,83.10068
105.0,0.346,115.0,2.03,616.0,75.46088
105.0,0.346,123.0,2.08,-25.0,106.78069
105.0,0.346,123.0,2.08,-14.0,106.00869999999999
105.0,0.346,123.0,2.08,37.0,102.56862
105.0,0.346,123.0,2.08,82.0,99.71332000000001
105.0,0.346,123.0,2.08,144.0,96.03007000000001
105.0,0.346,123.0,2.08,213.0,92.23739
105.0,0.346,123.0,2.08,258.0,89.92083
105.0,0.346,123.0,2.08,315.0,87.14825
105.0,0.346,123.0,2.08,412.0,82.80265
105.0,0.346,123.0,2.08,599.0,75.53847999999999
110.0,0.341,160.0,1.82,-23.0,111.57422
110.0,0.341,160.0,1.82,13.0,109.19252
110.0,0.341,160.0,1.82,43.0,107.28427
110.0,0.341,160.0,1.82,104.0,103.60210000000001
110.0,0.341,160.0,1.82,150.0,100.98841
110.0,0.341,160.0,1.82,181.0,99.2999
110.0,0.341,160.0,1.82,261.0,95.19189999999999
110.0,0.341,160.0,1.82,309.0,92.88592
110.0,0.341,160.0,1.82,398.0,88.89236
110.0,0.341,160.0,1.82,597.0,81.09459
207.0,0.31,60.7,1.3099999999999998,-22.0,210.80985
207.0,0.31,60.7,1.3099999999999998,-17.0,209.94398999999999
207.0,0.31,60.7,1.3099999999999998,47.0,199.44813
207.0,0.31,60.7,1.3099999999999998,118.0,188.96438
207.0,0.31,60.7,1.3099999999999998,168.0,182.21894
207.0,0.31,60.7,1.3099999999999998,218.0,175.93768
207.0,0.31,60.7,1.3099999999999998,257.0,171.3307
207.0,0.31,60.7,1.3099999999999998,288.0,167.83660999999998
207.0,0.31,60.7,1.3099999999999998,408.0,155.55519
207.0,0.31,60.7,1.3099999999999998,618.0,137.88934
100.0,0.28,116.0,2.1199999999999997,-20.0,101.29924000000001
100.0,0.28,116.0,2.1199999999999997,-15.0,100.9748
100.0,0.28,116.0,2.1199999999999997,69.0,95.81633000000001
100.0,0.28,116.0,2.1199999999999997,89.0,94.66448
100.0,0.28,116.0,2.1199999999999997,152.0,91.21127
100.0,0.28,116.0,2.1199999999999997,183.0,89.60283
100.0,0.28,116.0,2.1199999999999997,250.0,86.31257000000001
100.0,0.28,116.0,2.1199999999999997,299.0,84.05521
100.0,0.28,116.0,2.1199999999999997,401.0,79.71479
100.0,0.28,116.0,2.1199999999999997,609.0,72.11811
110.0,0.38,110.0,2.02,-36.0,112.74077
110.0,0.38,110.0,2.02,-12.0,110.93982000000001
110.0,0.38,110.0,2.02,34.0,107.64338000000001
110.0,0.38,110.0,2.02,108.0,102.73233
110.0,0.38,110.0,2.02,155.0,99.83878
110.0,0.38,110.0,2.02,213.0,96.48464
110.0,0.38,110.0,2.02,246.0,94.67471
110.0,0.38,110.0,2.02,309.0,91.40071
110.0,0.38,110.0,2.02,413.0,86.46387
110.0,0.38,110.0,2.02,607.0,78.54617
105.0,0.346,115.0,2.03,-28.0,106.9455
105.0,0.346,115.0,2.03,6.0,104.64206
105.0,0.346,115.0,2.03,35.0,102.75427
105.0,0.346,115.0,2.03,105.0,98.46627000000001
105.0,0.346,115.0,2.03,145.0,96.17255
105.0,0.346,115.0,2.03,184.0,94.03664
105.0,0.346,115.0,2.03,252.0,90.53014999999999
105.0,0.346,115.0,2.03,280.0,89.16112
105.0,0.346,115.0,2.03,392.0,84.07433
105.0,0.346,115.0,2.03,586.0,76.51084
105.0,0.35,115.0,2.03,-26.0,106.80871
105.0,0.35,115.0,2.03,-11.0,105.78292
105.0,0.35,115.0,2.03,62.0,101.06028
105.0,0.35,115.0,2.03,110.0,98.17758
105.0,0.35,115.0,2.03,156.0,95.56508
105.0,0.35,115.0,2.03,185.0,93.98808
105.0,0.35,115.0,2.03,247.0,90.78502
105.0,0.35,115.0,2.03,309.0,87.79267
105.0,0.35,115.0,2.03,418.0,82.9827
105.0,0.35,115.0,2.03,610.0,75.67685
110.0,0.375,140.0,1.91,-14.0,111.02933999999999
110.0,0.375,140.0,1.91,15.0,109.03612
110.0,0.375,140.0,1.91,45.0,107.04804
110.0,0.375,140.0,1.91,103.0,103.40241999999999
110.0,0.375,140.0,1.91,151.0,100.56746000000001
110.0,0.375,140.0,1.91,200.0,97.82911999999999
110.0,0.375,140.0,1.91,235.0,95.96238000000001
110.0,0.375,140.0,1.91,291.0,93.11914999999999
110.0,0.375,140.0,1.91,409.0,87.64605
110.0,0.375,140.0,1.91,603.0,79.92012
115.0,0.307,189.0,1.8399999999999996,-12.0,115.90644999999999
115.0,0.307,189.0,1.8399999999999996,8.0,114.44669
115.0,0.307,189.0,1.8399999999999996,51.0,111.42965
115.0,0.307,189.0,1.8399999999999996,109.0,107.60265
115.0,0.307,189.0,1.8399999999999996,160.0,104.44777
115.0,0.307,189.0,1.8399999999999996,208.0,101.64319
115.0,0.307,189.0,1.8399999999999996,234.0,100.18584
115.0,0.307,189.0,1.8399999999999996,282.0,97.60197
115.0,0.307,189.0,1.8399999999999996,417.0,91.00002
115.0,0.307,189.0,1.8399999999999996,597.0,83.46947
110.0,0.375,120.0,1.99,-6.0,110.48979
110.0,0.375,120.0,1.99,-5.0,110.41734
110.0,0.375,120.0,1.99,33.0,107.74327000000001
110.0,0.375,120.0,1.99,94.0,103.71039999999999
110.0,0.375,120.0,1.99,142.0,100.74291000000001
110.0,0.375,120.0,1.99,185.0,98.22486
110.0,0.375,120.0,1.99,263.0,93.96349000000001
110.0,0.375,120.0,1.99,307.0,91.71871
110.0,0.375,120.0,1.99,406.0,87.03888
110.0,0.375,120.0,1.99,613.0,78.64489999999999
110.0,0.28,123.0,1.86,-14.0,110.96633
110.0,0.28,123.0,1.86,-7.0,110.48846
110.0,0.28,123.0,1.86,34.0,107.76985
110.0,0.28,123.0,1.86,110.0,103.06827
110.0,0.28,123.0,1.86,131.0,101.84064
110.0,0.28,123.0,1.86,216.0,97.15558999999999
110.0,0.28,123.0,1.86,231.0,96.37341
110.0,0.28,123.0,1.86,319.0,92.02517999999999
110.0,0.28,123.0,1.86,387.0,88.92451
110.0,0.28,123.0,1.86,599.0,80.4696
110.0,0.341,160.0,1.82,-32.0,112.18558
110.0,0.341,160.0,1.82,-13.0,110.9023
110.0,0.341,160.0,1.82,64.0,105.98739
110.0,0.341,160.0,1.82,114.0,103.02266
110.0,0.341,160.0,1.82,130.0,102.10871
110.0,0.341,160.0,1.82,183.0,99.19288
110.0,0.341,160.0,1.82,269.0,94.79963000000001
110.0,0.341,160.0,1.82,310.0,92.83878999999999
110.0,0.341,160.0,1.82,381.0,89.62853999999999
110.0,0.341,160.0,1.82,592.0,81.27378999999999
105.0,0.346,115.0,2.03,-32.0,107.22313
105.0,0.346,115.0,2.03,5.0,104.70879
105.0,0.346,115.0,2.03,53.0,101.61655
105.0,0.346,115.0,2.03,112.0,98.05680000000001
105.0,0.346,115.0,2.03,141.0,96.39683000000001
105.0,0.346,115.0,2.03,219.0,92.19830999999999
105.0,0.346,115.0,2.03,242.0,91.02919
105.0,0.346,115.0,2.03,286.0,88.87297
105.0,0.346,115.0,2.03,397.0,83.86088000000001
105.0,0.346,115.0,2.03,591.0,76.33377
105.0,0.346,123.0,2.08,-23.0,106.63925
105.0,0.346,123.0,2.08,-18.0,106.28795
105.0,0.346,123.0,2.08,47.0,101.92019
